Município;População;Frota Total;Frota Ativa;Acidentes;Veículos Envolvidos;Feridos e Ilesos;Óbitos
Abadia de Goiás;9646;6859;5276;878;1074;1095;20
Abadia dos Dourados;6993;5012;2725;241;325;419;7
Abadiânia;21970;7625;5052;820;1058;1051;34
Abaeté;23049;14966;9435;1404;1988;2622;23
Abaetetuba;162449;42453;30930;1045;1738;1229;76
Abaiara;12106;3123;2410;20;30;39;1
Abaíra;8712;2503;1504;8;13;11;1
Abaré;20646;2984;1755;132;190;170;48
Abatiá;7134;4943;2769;123;160;239;4
Abdon Batista;2516;1952;1280;88;108;116;1
Abel Figueiredo;7610;1690;1111;160;242;186;14
Abelardo Luz;18046;13523;9408;828;1132;1346;6
Abre Campo;13258;7520;5542;351;487;572;5
Abreu e Lima;101050;32334;23223;584;620;583;39
Abreulândia;2621;892;611;29;43;45;1
Acaiaca;3952;2130;1345;239;309;428;12
Açailândia;114364;50676;41218;295;320;189;118
Acajutiba;15214;3062;1888;62;62;51;11
Acará;56358;5540;3400;583;939;589;67
Acarape;13873;3566;2728;70;96;99;19
Acaraú;64115;20387;15076;72;105;74;64
Acari;11082;4147;3272;22;50;35;11
Acauã;7204;2751;2040;40;44;48;7
Aceguá;5040;4753;2998;3;5;2;3
Acopiara;55245;19250;14655;147;217;226;57
Acorizal;5343;1728;1405;15;15;13;13
Acrelândia;16303;7838;5771;180;297;359;7
Acreúna;23028;15070;10386;1098;1532;1493;25
Açu;58776;27881;20455;270;437;371;55
Açucena;8871;4175;2889;259;304;423;10
Adamantina;35145;29719;20586;1200;1326;1465;13
Adelândia;2486;1477;965;51;69;80;1
Adolfo;3510;2916;1944;45;33;26;2
Adrianópolis;5546;3550;2357;70;94;135;3
Adustina;17151;1846;954;76;155;131;20
Afogados da Ingazeira;37683;23370;17062;467;530;479;62
Afonso Bezerra;11004;2012;1282;9;11;4;6
Afonso Cláudio;11004;2012;1282;9;11;4;6
Afonso Cunha;6657;774;414;7;7;6;0
Afrânio;20117;5784;3830;32;35;21;14
Afuá;0;0;0;0;0;0;0
Agrestina;25385;9015;6316;274;308;251;61
Agricolândia;5160;1881;1513;56;62;58;9
Agrolândia;11290;9243;6547;587;811;952;4
Agronômica;5585;4895;3541;388;513;589;12
Água Azul do Norte;28134;3452;2096;146;213;145;44
Água Boa;40636;28771;22211;519;583;854;29
Água Branca;48293;20957;15732;331;363;293;38
Água Clara;16548;10748;7613;338;453;403;6
Água Comprida;1945;1120;694;135;175;247;3
Água Doce;7157;5905;3960;609;767;840;21
Água Doce do Maranhão;12788;766;454;3;3;1;2
Água Doce do Norte;10188;6917;5599;489;431;582;26
Água Fria;17096;2598;1849;20;22;20;6
Água Fria de Goiás;5962;1406;772;311;416;451;18
Água Limpa;1724;1032;678;56;65;71;2
Água Nova;3281;1106;894;2;4;3;1
Água Preta;37610;6046;4160;121;136;122;14
Água Santa;3699;3196;1926;4;7;8;6
Aguaí;37735;24959;15151;641;616;582;34
Aguanil;4609;2117;1400;145;178;256;3
Águas Belas;44132;11348;7789;212;228;186;42
Águas da Prata;8340;5392;3280;202;177;159;22
Águas de Chapecó;6564;4750;3431;276;350;438;4
Águas de Lindóia;19108;15892;10350;337;251;200;24
Águas de Santa Bárbara;6209;5054;3239;187;180;213;17
Águas de São Pedro;3754;3033;2084;79;65;67;2
Águas Formosas;19191;7106;5467;864;1017;1295;23
Águas Frias;2331;2475;1921;97;127;156;0
Águas Lindas de Goiás;237056;43537;26958;8414;11668;10681;73
Águas Mornas;6725;5870;4475;448;584;638;18
Águas Vermelhas;13682;3089;2033;236;291;357;5
Agudo;16162;11928;7684;16;27;28;19
Agudos;37932;25740;16886;664;476;461;26
Agudos do Sul;9772;8441;5045;251;415;494;19
Águia Branca;9469;7176;5506;533;556;637;15
Aguiar;5676;1550;1247;8;7;0;8
Aguiarnópolis;5320;2028;1446;48;87;88;3
Aimorés;24948;10994;7747;1073;1415;1857;31
Aiquara;4427;608;427;4;7;9;1
Aiuaba;17774;3491;2645;12;15;7;10
Aiuruoca;5803;3871;2460;144;182;217;4
Ajuricaba;6909;6504;3655;2;3;1;2
Alagoa;2603;1413;1051;43;50;74;0
Alagoa Grande;28283;7593;5585;39;51;39;14
Alagoa Nova;21183;5886;4101;25;30;16;18
Alagoinha;29575;7447;5265;116;136;108;26
Alagoinha do Piauí;7764;1886;1609;32;33;28;2
Alagoinhas;29575;7447;5265;116;136;108;26
Alambari;6477;3245;2261;134;131;123;16
Albertina;2994;2178;1246;78;99;135;2
Alcântara;22298;2408;1721;24;25;6;18
Alcântaras;11997;4717;3751;15;21;25;4
Alcantil;5527;998;688;19;19;3;19
Alcinópolis;5641;3545;2464;28;36;33;0
Alcobaça;21981;5228;3951;119;168;193;17
Aldeias Altas;27083;3546;2537;58;58;46;6
Alecrim;0;0;0;0;0;0;0
Alegre;28469;16101;11800;1045;856;1392;26
Alegrete;70607;44289;26868;39;64;37;42
Alegrete do Piauí;4969;646;520;41;44;42;4
Alegria;3699;2600;1406;1;1;3;1
Além Paraíba;35167;27289;15941;706;1058;1142;7
Alenquer;58069;11585;6313;537;818;614;38
Alexandria;13552;6401;4476;29;37;25;22
Alexânia;29177;15836;10104;1868;2424;2199;56
Alfenas;81548;54096;37635;5431;8334;10135;47
Alfredo Chaves;14409;11571;8612;731;565;967;11
Alfredo Marcondes;4234;2859;1833;47;55;45;7
Alfredo Vasconcelos;7190;4016;2761;197;255;362;10
Alfredo Wagner;10172;8852;6376;711;893;997;19
Algodão de Jandaíra;2586;529;327;1;1;0;1
Alhandra;19993;7565;5950;56;75;64;29
Aliança;38462;8754;6369;281;310;260;59
Aliança do Tocantins;5185;2616;1818;95;152;166;7
Almadina;5366;808;522;9;14;12;5
Almas;6713;2325;1683;113;188;200;13
Almeirim;34325;4261;1592;241;399;278;11
Almenara;42640;17285;13168;2301;2846;3734;23
Almino Afonso;4717;1615;1124;2;2;0;2
Almirante Tamandaré;124517;70704;46389;2939;4670;6010;70
Almirante Tamandaré do Sul;1885;1783;1122;9;18;10;12
Aloândia;1923;1408;900;69;88;82;0
Alpercata;7403;2455;1856;100;123;159;3
Alpestre;5425;5264;3276;4;5;3;5
Alpinópolis;20147;15054;8438;723;1000;1287;17
Alta Floresta;53200;56008;40375;169;209;163;50
Alta Floresta D'Oeste;20846;17326;12747;998;1370;1621;36
Altair;4257;1931;1099;43;47;53;4
Altamira;118865;70104;49888;4358;7194;4794;163
Altamira do Maranhão;8285;1635;1127;12;12;8;2
Altamira do Paraná;632;2351;1467;60;72;95;1
Altaneira;7758;2006;1498;8;9;5;6
Alterosa;14556;10111;6275;347;468;645;15
Altinho;23031;5612;3859;174;186;180;9
Altinópolis;16215;11383;6898;276;298;289;30
Alto Alegre;20398;7024;4593;244;403;430;44
Alto Alegre do Maranhão;28359;5116;3883;51;58;38;16
Alto Alegre do Pindaré;32214;4317;2992;21;21;10;12
Alto Alegre dos Parecis;12796;6802;5405;320;415;491;20
Alto Araguaia;20136;9996;7306;12;11;10;5
Alto Bela Vista;1901;1746;1184;110;143;151;0
Alto Boa Vista;7152;3092;2396;21;33;40;11
Alto Caparaó;6009;3742;2701;141;175;237;1
Alto do Rodrigues;14979;5571;3708;13;17;6;13
Alto Feliz;3040;2577;1833;1;2;1;1
Alto Garças;12726;8437;6424;9;9;10;4
Alto Horizonte;7327;3454;2789;343;498;426;8
Alto Jequitibá;8150;5743;3723;278;362;551;10
Alto Longá;14536;3289;2473;213;196;219;6
Alto Paraguai;11510;2525;1739;5;5;2;3
Alto Paraíso;21019;12573;9145;899;1236;1503;63
Alto Paraíso de Goiás;9937;3533;2377;981;1341;1258;15
Alto Paraná;4427;608;427;4;7;9;1
Alto Parnaíba;11313;3012;2255;56;57;49;8
Alto Piquiri;9471;6524;4022;183;262;335;2
Alto Rio Doce;10193;5888;3933;193;231;348;5
